iter	Passed	Remaining
0	2	209
1	3	181
2	5	170
3	6	154
4	7	143
5	8	133
6	9	122
7	10	115
8	10	110
9	11	104
10	12	99
11	13	95
12	13	91
13	14	88
14	15	86
15	15	83
16	16	81
17	17	79
18	18	77
19	18	75
20	19	73
21	20	71
22	20	69
23	21	68
24	22	67
25	23	65
26	23	64
27	24	62
28	25	61
29	25	60
30	26	59
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	32	48
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
