iter	Passed	Remaining
0	1	1099
1	1	996
2	2	963
3	3	941
4	4	917
5	5	891
6	6	898
7	7	890
8	8	897
9	8	878
10	9	862
11	10	854
12	11	841
13	11	834
14	12	825
15	13	815
16	13	807
17	14	799
18	15	797
19	16	800
20	17	805
21	18	813
22	18	806
23	19	800
24	20	796
25	21	790
26	21	783
27	22	780
28	23	776
29	23	772
30	24	769
31	25	766
32	26	764
33	26	760
34	27	756
35	28	751
36	28	749
37	29	751
38	30	752
39	31	753
40	32	759
41	33	760
42	34	757
43	34	755
44	35	751
45	36	747
46	36	745
47	37	741
48	38	740
49	38	737
50	39	735
51	40	733
52	40	730
53	41	727
54	42	725
55	42	723
56	43	721
57	44	719
58	45	721
59	46	722
60	46	722
61	47	720
62	48	717
63	48	715
64	49	712
65	50	710
66	50	708
67	51	706
68	52	703
69	52	700
70	53	699
71	54	696
72	54	695
73	55	693
74	56	691
75	56	689
76	57	687
77	57	685
78	59	695
79	60	697
80	61	698
81	62	699
82	62	694
83	63	692
84	64	691
85	64	688
86	65	687
87	66	686
88	66	685
89	67	684
90	68	683
91	69	683
92	69	682
93	70	680
94	71	679
95	71	677
96	72	676
97	73	678
98	74	679
99	76	687
100	77	691
101	78	692
102	79	693
103	80	691
104	81	691
105	82	692
106	83	696
107	84	696
108	85	694
109	85	694
110	86	693
111	87	692
112	88	692
113	89	692
114	89	691
115	90	690
116	91	689
117	92	688
118	92	687
119	93	686
120	94	684
121	94	683
122	95	682
123	96	681
124	97	679
125	97	678
126	98	676
127	99	674
128	99	673
129	100	672
130	101	670
131	101	669
132	102	668
133	103	667
134	104	666
135	105	667
136	106	668
137	107	671
138	109	675
139	109	675
140	110	675
141	111	672
142	112	672
143	112	671
144	113	670
145	114	670
146	115	669
147	116	668
148	116	668
149	117	667
150	118	666
151	119	667
152	120	667
153	121	668
154	122	670
155	123	670
156	124	668
157	125	667
158	126	666
159	126	665
160	127	662
161	127	660
162	128	659
163	129	657
164	129	656
165	130	654
166	131	654
167	132	653
168	133	654
169	134	654
170	135	654
171	135	653
172	136	652
173	137	651
174	138	651
175	139	651
176	139	650
177	140	649
178	141	647
179	141	646
180	142	645
181	143	645
182	144	644
183	145	643
184	146	643
185	147	644
186	148	643
187	148	643
188	149	642
189	150	641
190	151	640
191	151	639
192	152	638
193	153	637
194	154	636
195	155	636
196	155	635
197	156	634
198	157	633
199	158	633
200	159	632
201	159	631
202	161	633
203	162	633
204	163	632
205	163	631
206	164	631
207	165	630
208	166	629
209	167	628
210	167	627
211	168	626
212	169	626
213	170	624
214	170	623
215	171	622
216	172	621
217	172	620
218	173	619
219	174	619
220	175	619
221	177	620
222	178	620
223	178	619
224	179	618
225	180	617
226	180	616
227	181	615
228	182	614
229	183	613
230	183	612
231	184	610
232	185	609
233	185	608
234	186	608
235	187	607
236	188	606
237	189	606
238	190	606
239	191	606
240	192	605
241	193	604
242	194	606
243	195	606
244	196	605
245	197	603
246	197	602
247	198	601
248	199	600
249	199	599
250	200	598
251	201	597
252	201	596
253	202	595
254	203	595
255	204	594
256	205	594
257	206	593
258	207	592
259	207	591
260	208	591
261	209	590
262	210	589
263	211	588
264	211	587
265	212	586
266	213	585
267	213	583
268	214	582
269	215	581
270	215	580
271	216	579
272	217	578
273	218	578
274	219	577
275	219	576
276	220	576
277	221	574
278	221	573
279	222	572
280	223	571
281	223	570
282	224	569
283	225	567
284	225	566
285	226	565
286	227	564
287	227	563
288	228	562
289	229	561
290	229	560
291	230	559
292	231	558
293	232	557
294	233	557
295	234	557
296	234	556
297	235	555
298	236	554
299	237	553
300	237	551
301	238	551
302	239	549
303	239	548
304	240	547
305	241	546
306	241	545
307	242	544
308	242	543
309	243	542
310	244	541
311	244	540
312	245	539
313	246	538
314	247	537
315	248	536
316	248	536
317	249	535
318	250	534
319	251	533
320	251	532
321	252	531
322	253	530
323	253	529
324	254	528
325	255	527
326	255	526
327	256	525
328	257	524
329	257	523
330	258	522
331	259	521
332	260	520
333	260	519
334	261	519
335	262	519
336	263	519
337	264	518
338	265	517
339	265	516
340	266	515
341	267	514
342	267	513
343	268	512
344	269	511
345	270	510
346	270	509
347	271	508
348	272	507
349	272	506
350	273	505
351	274	504
352	274	503
353	275	502
354	276	502
355	277	502
356	278	501
357	279	500
358	280	500
359	280	499
360	281	498
361	282	497
362	283	496
363	283	495
364	284	494
365	285	494
366	285	493
367	286	492
368	287	491
369	288	490
370	289	490
371	290	489
372	291	489
373	292	489
374	293	488
375	294	487
376	294	487
377	295	486
378	296	486
379	297	485
380	298	485
381	299	484
382	300	483
383	301	483
384	301	482
385	302	481
386	303	481
387	304	480
388	305	480
389	306	480
390	307	479
391	308	478
392	309	478
393	310	477
394	311	476
395	312	476
396	312	475
397	313	474
398	314	473
399	315	472
400	316	472
401	316	471
402	317	470
403	318	470
404	319	469
405	320	469
406	321	468
407	322	467
408	323	466
409	323	466
410	324	465
411	325	464
412	326	463
413	328	464
414	329	463
415	329	463
416	330	462
417	331	461
418	332	460
419	333	460
